grade_id,student_id,course_id,group_id,assessment_title,assessment_id,type,score,max_score,date
GR00113,S0011,C006,G08,Quiz 3,C006-QZ,quiz,65.3,100,2026-01-20
GR00114,S0011,C006,G08,Quiz 4,C006-QZ,quiz,81.8,100,2026-02-03
GR00115,S0011,C006,G08,Assignment 1,C006-AS,assignment,66.4,100,2026-02-18
GR00116,S0011,C006,G08,Assignment 2,C006-AS,assignment,62.8,100,2026-03-04
GR00117,S0011,C006,G08,Assignment 3,C006-AS,assignment,49.3,100,2026-03-18
GR00118,S0011,C006,G08,Practical 1,C006-PR,practical,79.7,100,2026-04-02
GR00119,S0011,C006,G08,Practical 2,C006-PR,practical,73.7,100,2026-04-16
GR00120,S0011,C006,G08,Midterm Exam,C006-EX,exam,87.9,100,2026-05-01
GR00121,S0011,C006,G08,Final Exam,C006-EXF,exam,83.9,100,2026-05-15
GR00122,S0012,C002,G04,Quiz 1,C002-QZ,quiz,66.1,100,2025-12-28
GR00123,S0012,C002,G04,Quiz 2,C002-QZ,quiz,55.7,100,2026-01-11
GR00124,S0012,C002,G04,Quiz 3,C002-QZ,quiz,79.8,100,2026-01-25
GR00125,S0012,C002,G04,Quiz 4,C002-QZ,quiz,71.7,100,2026-02-08
GR00126,S0012,C002,G04,Assignment 1,C002-AS,assignment,62.2,100,2026-02-22
GR00127,S0012,C002,G04,Assignment 2,C002-AS,assignment,66.2,100,2026-03-08
GR00128,S0012,C002,G04,Assignment 3,C002-AS,assignment,49.7,100,2026-03-21
GR00129,S0012,C002,G04,Practical 1,C002-PR,practical,79.5,100,2026-04-04
GR00130,S0012,C002,G04,Practical 2,C002-PR,practical,62.1,100,2026-04-18
GR00131,S0012,C002,G04,Midterm Exam,C002-EX,exam,69.7,100,2026-05-02
GR00132,S0012,C002,G04,Final Exam,C002-EXF,exam,72.6,100,2026-05-16
GR00133,S0013,C005,G07,Quiz 1,C005-QZ,quiz,56.7,100,2025-12-22
GR00134,S0013,C005,G07,Quiz 2,C005-QZ,quiz,55.4,100,2026-01-05
GR00135,S0013,C005,G07,Quiz 3,C005-QZ,quiz,70.9,100,2026-01-20
GR00136,S0013,C005,G07,Quiz 4,C005-QZ,quiz,45.6,100,2026-02-03
GR00137,S0013,C005,G07,Assignment 1,C005-AS,assignment,33.3,100,2026-02-18
GR00138,S0013,C005,G07,Assignment 2,C005-AS,assignment,47.4,100,2026-03-04
GR00139,S0013,C005,G07,Assignment 3,C005-AS,assignment,42.2,100,2026-03-18
GR00140,S0013,C005,G07,Practical 1,C005-PR,practical,45.0,100,2026-04-02
GR00141,S0013,C005,G07,Practical 2,C005-PR,practical,57.4,100,2026-04-16
GR00142,S0013,C005,G07,Midterm Exam,C005-EX,exam,57.3,100,2026-05-01
GR00143,S0013,C005,G07,Final Exam,C005-EXF,exam,78.9,100,2026-05-15
GR00144,S0014,C001,G01,Quiz 1,C001-QZ,quiz,96.4,100,2025-12-31
GR00145,S0014,C001,G01,Quiz 2,C001-QZ,quiz,81.6,100,2026-01-14
GR00146,S0014,C001,G01,Quiz 3,C001-QZ,quiz,88.9,100,2026-01-27
GR00147,S0014,C001,G01,Quiz 4,C001-QZ,quiz,74.4,100,2026-02-10
GR00148,S0014,C001,G01,Assignment 1,C001-AS,assignment,80.9,100,2026-02-23
GR00149,S0014,C001,G01,Assignment 2,C001-AS,assignment,64.7,100,2026-03-09
GR00150,S0014,C001,G01,Assignment 3,C001-AS,assignment,75.8,100,2026-03-23
GR00151,S0014,C001,G01,Practical 1,C001-PR,practical,92.6,100,2026-04-05
GR00152,S0014,C001,G01,Practical 2,C001-PR,practical,91.6,100,2026-04-19
GR00153,S0014,C001,G01,Midterm Exam,C001-EX,exam,87.8,100,2026-05-02
GR00154,S0014,C001,G01,Final Exam,C001-EXF,exam,84.2,100,2026-05-16
GR00155,S0015,C001,G02,Quiz 1,C001-QZ,quiz,69.8,100,2025-12-22
GR00156,S0015,C001,G02,Quiz 2,C001-QZ,quiz,73.2,100,2026-01-05
GR00157,S0015,C001,G02,Quiz 3,C001-QZ,quiz,67.9,100,2026-01-20
GR00158,S0015,C001,G02,Quiz 4,C001-QZ,quiz,71.1,100,2026-02-03
GR00159,S0015,C001,G02,Assignment 1,C001-AS,assignment,61.9,100,2026-02-18
GR00160,S0015,C001,G02,Assignment 2,C001-AS,assignment,53.0,100,2026-03-04
GR00161,S0015,C001,G02,Assignment 3,C001-AS,assignment,66.9,100,2026-03-18
GR00162,S0015,C001,G02,Practical 1,C001-PR,practical,67.3,100,2026-04-02
GR00163,S0015,C001,G02,Practical 2,C001-PR,practical,73.3,100,2026-04-16
GR00164,S0015,C001,G02,Midterm Exam,C001-EX,exam,57.5,100,2026-05-01
GR00165,S0015,C001,G02,Final Exam,C001-EXF,exam,69.1,100,2026-05-15
GR00166,S0016,C001,G01,Quiz 1,C001-QZ,quiz,86.7,100,2025-12-27
GR00167,S0016,C001,G01,Quiz 2,C001-QZ,quiz,83.1,100,2026-01-10
GR00168,S0016,C001,G01,Quiz 3,C001-QZ,quiz,71.9,100,2026-01-24
GR00169,S0016,C001,G01,Quiz 4,C001-QZ,quiz,91.4,100,2026-02-07
GR00170,S0016,C001,G01,Assignment 1,C001-AS,assignment,74.8,100,2026-02-21
GR00171,S0016,C001,G01,Assignment 2,C001-AS,assignment,80.6,100,2026-03-07
GR00172,S0016,C001,G01,Assignment 3,C001-AS,assignment,52.5,100,2026-03-21
GR00173,S0016,C001,G01,Practical 1,C001-PR,practical,96.2,100,2026-04-04
GR00174,S0016,C001,G01,Practical 2,C001-PR,practical,80.3,100,2026-04-18
GR00175,S0016,C001,G01,Midterm Exam,C001-EX,exam,95.1,100,2026-05-02
GR00176,S0016,C001,G01,Final Exam,C001-EXF,exam,89.0,100,2026-05-16
GR00177,S0017,C001,G02,Quiz 1,C001-QZ,quiz,80.1,100,2025-12-20
GR00178,S0017,C001,G02,Quiz 2,C001-QZ,quiz,74.8,100,2026-01-04
GR00179,S0017,C001,G02,Quiz 3,C001-QZ,quiz,64.4,100,2026-01-18
GR00180,S0017,C001,G02,Quiz 4,C001-QZ,quiz,52.7,100,2026-02-02
GR00181,S0017,C001,G02,Assignment 1,C001-AS,assignment,75.5,100,2026-02-16
GR00182,S0017,C001,G02,Assignment 2,C001-AS,assignment,47.3,100,2026-03-03
GR00183,S0017,C001,G02,Assignment 3,C001-AS,assignment,65.5,100,2026-03-18
GR00184,S0017,C001,G02,Practical 1,C001-PR,practical,67.4,100,2026-04-01
GR00185,S0017,C001,G02,Practical 2,C001-PR,practical,67.2,100,2026-04-16
GR00186,S0017,C001,G02,Midterm Exam,C001-EX,exam,61.2,100,2026-04-30
GR00187,S0017,C001,G02,Final Exam,C001-EXF,exam,76.0,100,2026-05-15
GR00188,S0018,C006,G09,Quiz 1,C006-QZ,quiz,84.3,100,2025-12-29
GR00189,S0018,C006,G09,Quiz 2,C006-QZ,quiz,72.2,100,2026-01-12
GR00190,S0018,C006,G09,Quiz 3,C006-QZ,quiz,85.2,100,2026-01-26
GR00191,S0018,C006,G09,Quiz 4,C006-QZ,quiz,74.2,100,2026-02-09
GR00192,S0018,C006,G09,Assignment 1,C006-AS,assignment,83.8,100,2026-02-22
GR00193,S0018,C006,G09,Assignment 2,C006-AS,assignment,88.1,100,2026-03-08
GR00194,S0018,C006,G09,Assignment 3,C006-AS,assignment,72.9,100,2026-03-22
GR00195,S0018,C006,G09,Practical 1,C006-PR,practical,81.4,100,2026-04-05
GR00196,S0018,C006,G09,Practical 2,C006-PR,practical,66.3,100,2026-04-18
GR00197,S0018,C006,G09,Midterm Exam,C006-EX,exam,76.8,100,2026-05-02
GR00198,S0018,C006,G09,Final Exam,C006-EXF,exam,71.5,100,2026-05-16
GR00199,S0019,C002,G04,Quiz 1,C002-QZ,quiz,84.7,100,2025-12-18
GR00200,S0019,C002,G04,Quiz 2,C002-QZ,quiz,66.6,100,2026-01-02
GR00201,S0019,C002,G04,Quiz 3,C002-QZ,quiz,61.7,100,2026-01-17
GR00202,S0019,C002,G04,Quiz 4,C002-QZ,quiz,75.0,100,2026-02-01
GR00203,S0019,C002,G04,Assignment 1,C002-AS,assignment,52.9,100,2026-02-15
GR00204,S0019,C002,G04,Assignment 2,C002-AS,assignment,62.4,100,2026-03-02
GR00205,S0019,C002,G04,Assignment 3,C002-AS,assignment,46.2,100,2026-03-17
GR00206,S0019,C002,G04,Practical 1,C002-PR,practical,68.6,100,2026-04-01
GR00207,S0019,C002,G04,Practical 2,C002-PR,practical,67.0,100,2026-04-15
GR00208,S0019,C002,G04,Midterm Exam,C002-EX,exam,71.5,100,2026-04-30
GR00209,S0019,C002,G04,Final Exam,C002-EXF,exam,56.4,100,2026-05-15
GR00210,S0020,C004,G06,Quiz 1,C004-QZ,quiz,51.5,100,2025-12-24
GR00211,S0020,C004,G06,Quiz 2,C004-QZ,quiz,76.7,100,2026-01-07
GR00212,S0020,C004,G06,Quiz 3,C004-QZ,quiz,74.8,100,2026-01-21
GR00213,S0020,C004,G06,Quiz 4,C004-QZ,quiz,74.7,100,2026-02-05
GR00214,S0020,C004,G06,Assignment 1,C004-AS,assignment,70.3,100,2026-02-19
GR00215,S0020,C004,G06,Assignment 2,C004-AS,assignment,75.2,100,2026-03-05
GR00216,S0020,C004,G06,Assignment 3,C004-AS,assignment,77.2,100,2026-03-19
GR00217,S0020,C004,G06,Practical 1,C004-PR,practical,81.5,100,2026-04-03
GR00218,S0020,C004,G06,Practical 2,C004-PR,practical,76.2,100,2026-04-17
GR00219,S0020,C004,G06,Midterm Exam,C004-EX,exam,66.9,100,2026-05-01
GR00220,S0020,C004,G06,Final Exam,C004-EXF,exam,86.4,100,2026-05-15
GR00221,S0021,C001,G01,Quiz 1,C001-QZ,quiz,85.1,100,2025-12-19
GR00222,S0021,C001,G01,Quiz 2,C001-QZ,quiz,81.0,100,2026-01-03
GR00223,S0021,C001,G01,Quiz 3,C001-QZ,quiz,76.3,100,2026-01-18
GR00224,S0021,C001,G01,Quiz 4,C001-QZ,quiz,73.0,100,2026-02-01
GR00225,S0021,C001,G01,Assignment 1,C001-AS,assignment,75.4,100,2026-02-16
GR00226,S0021,C001,G01,Assignment 2,C001-AS,assignment,72.2,100,2026-03-03
GR00227,S0021,C001,G01,Assignment 3,C001-AS,assignment,69.9,100,2026-03-17
GR00228,S0021,C001,G01,Practical 1,C001-PR,practical,87.9,100,2026-04-01
GR00229,S0021,C001,G01,Practical 2,C001-PR,practical,69.9,100,2026-04-16
GR00230,S0021,C001,G01,Midterm Exam,C001-EX,exam,90.8,100,2026-04-30
GR00231,S0021,C001,G01,Final Exam,C001-EXF,exam,88.0,100,2026-05-15
GR00232,S0022,C001,G02,Quiz 1,C001-QZ,quiz,60.5,100,2026-01-02
GR00233,S0022,C001,G02,Quiz 2,C001-QZ,quiz,72.8,100,2026-01-15
GR00234,S0022,C001,G02,Quiz 3,C001-QZ,quiz,70.2,100,2026-01-29
GR00235,S0022,C001,G02,Quiz 4,C001-QZ,quiz,90.7,100,2026-02-11
GR00236,S0022,C001,G02,Assignment 1,C001-AS,assignment,99.1,100,2026-02-25
GR00237,S0022,C001,G02,Assignment 2,C001-AS,assignment,70.9,100,2026-03-10
GR00238,S0022,C001,G02,Assignment 3,C001-AS,assignment,86.7,100,2026-03-23
GR00239,S0022,C001,G02,Practical 1,C001-PR,practical,69.4,100,2026-04-06
GR00240,S0022,C001,G02,Practical 2,C001-PR,practical,73.5,100,2026-04-19
GR00241,S0022,C001,G02,Midterm Exam,C001-EX,exam,62.3,100,2026-05-03
GR00242,S0022,C001,G02,Final Exam,C001-EXF,exam,76.5,100,2026-05-16
GR00243,S0023,C006,G08,Quiz 1,C006-QZ,quiz,70.2,100,2026-01-01
GR00244,S0023,C006,G08,Quiz 2,C006-QZ,quiz,75.0,100,2026-01-15
GR00245,S0023,C006,G08,Quiz 3,C006-QZ,quiz,73.2,100,2026-01-28
GR00246,S0023,C006,G08,Quiz 4,C006-QZ,quiz,88.0,100,2026-02-11
GR00247,S0023,C006,G08,Assignment 1,C006-AS,assignment,92.2,100,2026-02-24
GR00248,S0023,C006,G08,Assignment 2,C006-AS,assignment,51.8,100,2026-03-10
GR00249,S0023,C006,G08,Assignment 3,C006-AS,assignment,91.3,100,2026-03-23
GR00250,S0023,C006,G08,Practical 1,C006-PR,practical,57.3,100,2026-04-06
GR00251,S0023,C006,G08,Practical 2,C006-PR,practical,67.3,100,2026-04-19
GR00252,S0023,C006,G08,Midterm Exam,C006-EX,exam,61.1,100,2026-05-03
GR00253,S0023,C006,G08,Final Exam,C006-EXF,exam,63.6,100,2026-05-16
GR00254,S0024,C006,G09,Quiz 1,C006-QZ,quiz,88.0,100,2025-12-29
GR00255,S0024,C006,G09,Quiz 2,C006-QZ,quiz,86.2,100,2026-01-12
GR00256,S0024,C006,G09,Quiz 3,C006-QZ,quiz,85.4,100,2026-01-26
GR00257,S0024,C006,G09,Quiz 4,C006-QZ,quiz,80.5,100,2026-02-09
GR00258,S0024,C006,G09,Assignment 1,C006-AS,assignment,83.5,100,2026-02-22
GR00259,S0024,C006,G09,Assignment 2,C006-AS,assignment,67.6,100,2026-03-08
GR00260,S0024,C006,G09,Assignment 3,C006-AS,assignment,87.1,100,2026-03-22
GR00261,S0024,C006,G09,Practical 1,C006-PR,practical,93.4,100,2026-04-05
GR00262,S0024,C006,G09,Practical 2,C006-PR,practical,89.3,100,2026-04-18
GR00263,S0024,C006,G09,Midterm Exam,C006-EX,exam,89.9,100,2026-05-02
GR00264,S0024,C006,G09,Final Exam,C006-EXF,exam,79.6,100,2026-05-16
GR00265,S0025,C004,G06,Quiz 1,C004-QZ,quiz,80.2,100,2025-12-23
GR00266,S0025,C004,G06,Quiz 2,C004-QZ,quiz,90.6,100,2026-01-06
GR00267,S0025,C004,G06,Quiz 3,C004-QZ,quiz,79.1,100,2026-01-21
GR00268,S0025,C004,G06,Quiz 4,C004-QZ,quiz,82.2,100,2026-02-04
GR00269,S0025,C004,G06,Assignment 1,C004-AS,assignment,84.0,100,2026-02-18
GR00270,S0025,C004,G06,Assignment 2,C004-AS,assignment,77.5,100,2026-03-05
GR00271,S0025,C004,G06,Assignment 3,C004-AS,assignment,85.1,100,2026-03-19
GR00272,S0025,C004,G06,Practical 1,C004-PR,practical,83.1,100,2026-04-02
GR00273,S0025,C004,G06,Practical 2,C004-PR,practical,84.5,100,2026-04-17
GR00274,S0025,C004,G06,Midterm Exam,C004-EX,exam,72.3,100,2026-05-01
GR00275,S0025,C004,G06,Final Exam,C004-EXF,exam,82.2,100,2026-05-15
GR00276,S0026,C002,G04,Quiz 1,C002-QZ,quiz,93.7,100,2025-12-16
GR00277,S0026,C002,G04,Quiz 2,C002-QZ,quiz,66.3,100,2025-12-31
GR00278,S0026,C002,G04,Quiz 3,C002-QZ,quiz,82.8,100,2026-01-15
GR00279,S0026,C002,G04,Quiz 4,C002-QZ,quiz,76.5,100,2026-01-30
GR00280,S0026,C002,G04,Assignment 1,C002-AS,assignment,81.4,100,2026-02-14
GR00281,S0026,C002,G04,Assignment 2,C002-AS,assignment,64.8,100,2026-03-01
GR00282,S0026,C002,G04,Assignment 3,C002-AS,assignment,65.3,100,2026-03-16
GR00283,S0026,C002,G04,Practical 1,C002-PR,practical,63.8,100,2026-03-31
GR00284,S0026,C002,G04,Practical 2,C002-PR,practical,68.9,100,2026-04-15
GR00285,S0026,C002,G04,Midterm Exam,C002-EX,exam,65.9,100,2026-04-30
GR00286,S0026,C002,G04,Final Exam,C002-EXF,exam,72.8,100,2026-05-15
GR00287,S0027,C002,G04,Quiz 1,C002-QZ,quiz,84.5,100,2025-12-16
GR00288,S0027,C002,G04,Quiz 2,C002-QZ,quiz,87.9,100,2025-12-31
GR00289,S0027,C002,G04,Quiz 3,C002-QZ,quiz,75.1,100,2026-01-15
GR00290,S0027,C002,G04,Quiz 4,C002-QZ,quiz,71.2,100,2026-01-30
GR00291,S0027,C002,G04,Assignment 1,C002-AS,assignment,55.5,100,2026-02-14
GR00292,S0027,C002,G04,Assignment 2,C002-AS,assignment,64.6,100,2026-03-01
GR00293,S0027,C002,G04,Assignment 3,C002-AS,assignment,56.0,100,2026-03-16
GR00294,S0027,C002,G04,Practical 1,C002-PR,practical,83.4,100,2026-03-31
GR00295,S0027,C002,G04,Practical 2,C002-PR,practical,65.3,100,2026-04-15
GR00296,S0027,C002,G04,Midterm Exam,C002-EX,exam,82.5,100,2026-04-30
GR00297,S0027,C002,G04,Final Exam,C002-EXF,exam,96.0,100,2026-05-15
GR00298,S0028,C004,G06,Quiz 1,C004-QZ,quiz,66.8,100,2025-12-16
GR00299,S0028,C004,G06,Quiz 2,C004-QZ,quiz,86.0,100,2025-12-31
GR00300,S0028,C004,G06,Quiz 3,C004-QZ,quiz,69.1,100,2026-01-15
GR00301,S0028,C004,G06,Quiz 4,C004-QZ,quiz,84.2,100,2026-01-30
GR00302,S0028,C004,G06,Assignment 1,C004-AS,assignment,80.8,100,2026-02-14
GR00303,S0028,C004,G06,Assignment 2,C004-AS,assignment,70.6,100,2026-03-01
GR00304,S0028,C004,G06,Assignment 3,C004-AS,assignment,70.6,100,2026-03-16
GR00305,S0028,C004,G06,Practical 1,C004-PR,practical,78.5,100,2026-03-31
GR00306,S0028,C004,G06,Practical 2,C004-PR,practical,88.4,100,2026-04-15
GR00307,S0028,C004,G06,Midterm Exam,C004-EX,exam,82.0,100,2026-04-30
